code_rome,libelle
G1208,Entraîneur / Entraîneure de sport professionnel et de haut niveau
G1209,Animateur / Animatrice de loisirs sportifs
F1110,Dessinateur / Dessinatrice enveloppe du bâtiment
F1615,Poseur / Poseuse de cloisons démontables et mobiles
F1616,Poseur / Poseuse de menuiseries extérieures
F1617,Poseur / Poseuse de véranda
F1618,Poseur / Poseuse de façade vitrée
C1208,Courtier / Courtière en banque
N1301,Responsable logistique
N1302,Responsable entrepôt logistique
N1303,Approvisionneur / Approvisionneuse logistique
N2101,Steward / Hôtesse de l'air
N2102,Pilote de ligne
N4105,Chauffeur-livreur / Chauffeuse-livreuse
N3101,Capitaine de port
N3102,Marin
N3103,Matelot de la navigation fluviale
N3201,Agent / Agente de port de plaisance
N3202,Responsable d'exploitation transport fluvial
N3203,Ouvrier / Ouvrière de manutention portuaire
N4101,Conducteur / Conductrice de poids lourd
N4102,Conducteur / Conductrice de transport de particuliers
N4103,Conducteur / Conductrice de bus
N4104,Coursier / Coursière
N4403,Cheminot / Cheminote
K1305,Technicien / Technicienne Intervention Sociale et Familiale (TISF)
L1510,Animateur / Animatrice 3D - films d'animation
A1412,Fromager-affineur / Fromagère-affineuse
F1614,Poseur / Poseuse en fermetures de bâtiment
D1409,Assistant / Assistante administration des ventes
F1109,Assistant / Assistante géomètre
N4201,Responsable d'agence transport routier de marchandises
N4202,Responsable d'exploitation transport routier de personnes
N4203,Agent / Agente d'intervention technique d'exploitation des transports routiers de marchandises
N4204,Agent / Agente d'exploitation transport routier de personnes
N4301,Conducteur / Conductrice de train
N2201,Agent / Agente d'escale
N2202,Contrôleur aérien / Contrôleuse aérienne
N2203,Agent / Agente de piste
N2204,Agent / Agente de trafic aérien
N2205,Chef / Cheffe d'escale
M1808,Cartographe
M1809,Météorologue
M1810,Technicien / Technicienne informatique
N1101,Cariste
N4302,Agent / Agente de contrôle
N4401,Aiguilleur / Aiguilleure du rail
N4402,Agent / Agente d'exploitation des remontées mécaniques
G1211,Analyste de la performance sportive
A1102,Conducteur / Conductrice d'engins d'exploitation forestière
A1304,Conseiller / Conseillère technique agricole
F1707,Maçon / Maçonne du paysage
A1418,Viticulteur / Viticultrice
F1708,Installateur-poseur / Installatrice-poseuse de piscines préfabriquées
A1419,Ouvrier agricole polyvalent / Ouvrière agricole polyvalente
A1420,Chef / Cheffe de culture responsable d'unité de production agricole
A1421,Palefrenier soigneur / Palefrenière soigneuse
G1210,Enseignant / Enseignante d'équitation
C1505,Responsable d'agence immobilière
D1410,Attaché commercial / Attachée commerciale
D1510,Chef / Cheffe de secteur commercial
E1109,Directeur / Directrice de la communication
F1111,Ingénieur / Ingénieure génie civil
F1112,Ingénieur / Ingénieure calcul et structure
K1307,Animateur / Animatrice petite enfance
K1308,Agent territorial spécialisé / Agente territoriale spécialisée des écoles maternelles (ATSEM)
M1405,Data scientist
M1811,Data engineer
M1812,Responsable de la Sécurité des Systèmes d'Information (RSSI)
G1212,Animateur socio-sportif / Animatrice socio-sportive
M1813,Intégrateur / Intégratrice logiciels métiers
G1213,Chargé / Chargée de développement d'activités sportives
B1612,Concepteur / Conceptrice numérique en bijouterie joaillerie
G1405,Directeur / Directrice de structure sportive
F1113,Chargé / Chargée d'affaires en rénovation énergétique
F1114,Conseiller / Conseillère en rénovation énergétique
F1620,Installateur / Installatrice chauffage et climatisation
G1608,Ecailler / Ecaillère
H1211,Attaché / Attachée de recherche clinique (ARC)
H1507,Chargé / Chargée des affaires réglementaires
K1309,Accueillant familial / Accueillante familiale auprès d'enfants
H2103,Opérateur / Opératrice de transformation des viandes
G1214,Directeur sportif / Directrice sportive
G1207,Surveillant / Surveillante de baignade
C1111,Mandataire en assurance
E1206,UX - UI Designer
F1619,Couvreur / Couvreuse
F1709,Démolisseur / Démolisseuse
G1606,Cuisinier / Cuisinière de collectivité
G1607,Employé / Employée de restauration collective
J1105,Médecin coordonnateur
J1308,Brancardier / Brancardière
J1309,Agent / Agente de stérilisation de service hospitalier
